algorithm,alpha,n_clients,partition_seed,model_seed,round,val_macro_f1,val_loss,diverged,diverged_at
fednova_sgd,0.1,30,102,11,39,0.4181526279447661,0.05770940862353709,False,
fednova_sgd,0.1,30,102,11,40,0.3412987940100612,0.06391882098274056,False,
fednova_sgd,0.1,30,102,11,41,0.4163016023440147,0.056569671359113595,False,
fednova_sgd,0.1,30,102,11,42,0.33970477838661,0.06591691290779675,False,
fednova_sgd,0.1,30,102,11,43,0.42066662226357754,0.055733775703968855,False,
fednova_sgd,0.1,30,102,11,44,0.35307797515716444,0.06441711583221899,False,
fednova_sgd,0.1,30,102,11,45,0.41954436829727204,0.059199306630607344,False,
fednova_sgd,0.1,30,102,22,1,0.20637151398548023,0.24456144080796688,False,
fednova_sgd,0.1,30,102,22,2,0.016598548502431566,0.11575955884636455,False,
fednova_sgd,0.1,30,102,22,3,0.21711617074995523,0.12632510812310355,False,
fednova_sgd,0.1,30,102,22,4,0.15133525184933708,0.10470472407072216,False,
fednova_sgd,0.1,30,102,22,5,0.3156296270738359,0.09530668788921007,False,
fednova_sgd,0.1,30,102,22,6,0.15160173563608423,0.11863533133694916,False,
fednova_sgd,0.1,30,102,22,7,0.2745301755206319,0.09289095066003476,False,
fednova_sgd,0.1,30,102,22,8,0.2596139358647567,0.09127161682480377,False,
fednova_sgd,0.1,30,102,22,9,0.39229269112080295,0.07692144394036393,False,
fednova_sgd,0.1,30,102,22,10,0.2820652545298221,0.07836446914665948,False,
fednova_sgd,0.1,30,102,22,11,0.4056846978513328,0.07346057526249646,False,
fednova_sgd,0.1,30,102,22,12,0.2736621109212579,0.08686712566321321,False,
fednova_sgd,0.1,30,102,22,13,0.3932539395386763,0.0694405721641329,False,
fednova_sgd,0.1,30,102,22,14,0.23150267184325724,0.09315485904231811,False,
fednova_sgd,0.1,30,102,22,15,0.3870852248355026,0.06807185263941806,False,
fednova_sgd,0.1,30,102,22,16,0.3262187869760537,0.06829245984304264,False,
fednova_sgd,0.1,30,102,22,17,0.4088176156734588,0.06273004734278141,False,
fednova_sgd,0.1,30,102,22,18,0.3282438044099712,0.07319639710666564,False,
fednova_sgd,0.1,30,102,22,19,0.3987133865377465,0.06773595633096681,False,
fednova_sgd,0.1,30,102,22,20,0.3190110984423444,0.07507905206865732,False,
fednova_sgd,0.1,30,102,22,21,0.3945867884201695,0.0688696502837116,False,
fednova_sgd,0.1,30,102,22,22,0.3232031748162417,0.07206960868235064,False,
fednova_sgd,0.1,30,102,22,23,0.38829617437444697,0.06345115145582059,False,
fednova_sgd,0.1,30,102,22,24,0.32777159030959446,0.06715982466803226,False,
fednova_sgd,0.1,30,102,22,25,0.3880660283888912,0.060472985405808866,False,
fednova_sgd,0.1,30,102,22,26,0.34259473140325003,0.06649426689220019,False,
fednova_sgd,0.1,30,102,22,27,0.39095597530833026,0.06163773528040358,False,
fednova_sgd,0.1,30,102,22,28,0.34165159131316636,0.06872462973807997,False,
fednova_sgd,0.1,30,102,22,29,0.39335664096873624,0.05968503679830843,False,
fednova_sgd,0.1,30,102,22,30,0.3299350563161874,0.06615152097297512,False,
fednova_sgd,0.1,30,102,22,31,0.3996409818953715,0.05841331792738182,False,
fednova_sgd,0.1,30,102,22,32,0.3460961982971645,0.06532491717884063,False,
fednova_sgd,0.1,30,102,22,33,0.4048627775224737,0.05875284668093674,False,
fednova_sgd,0.1,30,102,22,34,0.3459816801519017,0.0638914058757447,False,
fednova_sgd,0.1,30,102,22,35,0.4155808455928576,0.05686683199590228,False,
fednova_sgd,0.1,30,102,22,36,0.3422405466377183,0.06432719682977818,False,
fednova_sgd,0.1,30,102,22,37,0.418881740242359,0.058322067398582346,False,
fednova_sgd,0.1,30,102,22,38,0.3628430425413857,0.06432457911996152,False,
fednova_sgd,0.1,30,102,22,39,0.427226169362676,0.0549537437252003,False,
fednova_sgd,0.1,30,102,22,40,0.3503180252888049,0.06306477173716847,False,
fednova_sgd,0.1,30,102,22,41,0.42204864595755825,0.056941101308099734,False,
fednova_sgd,0.1,30,102,22,42,0.3330009308154297,0.06385986143332098,False,
fednova_sgd,0.1,30,102,22,43,0.4247191550037719,0.05769279236523901,False,
fednova_sgd,0.1,30,102,22,44,0.35622153131215684,0.061056378848960605,False,
fednova_sgd,0.1,30,102,22,45,0.4111323641449626,0.0569277976143593,False,
fednova_sgd,0.1,30,102,33,1,0.2078396639171686,0.22066379046295048,False,
fednova_sgd,0.1,30,102,33,2,0.016850904093573715,0.1284945662850935,False,
fednova_sgd,0.1,30,102,33,3,0.21004600868999457,0.13135907319991494,False,
fednova_sgd,0.1,30,102,33,4,0.1725220799161057,0.09251338840681642,False,
fednova_sgd,0.1,30,102,33,5,0.315927401125143,0.10929603358095712,False,
fednova_sgd,0.1,30,102,33,6,0.1927141573934849,0.09295347022800313,False,
fednova_sgd,0.1,30,102,33,7,0.24285472878658576,0.13791459182061155,False,
fednova_sgd,0.1,30,102,33,8,0.2804474879582498,0.07401787113796232,False,
fednova_sgd,0.1,30,102,33,9,0.34242868351443595,0.09494844381228071,False,
fednova_sgd,0.1,30,102,33,10,0.3025522107308945,0.06533622279541305,False,
fednova_sgd,0.1,30,102,33,11,0.3534494064535498,0.09675238556626596,False,
fednova_sgd,0.1,30,102,33,12,0.2976410802052671,0.06368084764695814,False,
fednova_sgd,0.1,30,102,33,13,0.3237968995976753,0.09971800433020275,False,
fednova_sgd,0.1,30,102,33,14,0.3245382748063868,0.05959274178005737,False,
fednova_sgd,0.1,30,102,33,15,0.36826037445298676,0.0864511483779177,False,
fednova_sgd,0.1,30,102,33,16,0.32380253543072945,0.054471844360462714,False,
